variable,type,var,tab_1,f_1,f_2,f_3,f_4,metric,export_1
ex_loy_kc_kids_reg,1,Kohl's Kids,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_mens_reg,1,Kohl's Mens,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_oleth_reg,1,Kohl's Online Enthusiast,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_missex_reg,1,Misses Exclusive,Sales,Existing Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_ocbb_reg,1,Occasional Big Basket,Sales,Existing Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_odis_reg,1,One and Done In-Store,Sales,Existing Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_Existing Customer_Loyalist_Kohl's Charge_Regular
ex_loy_kc_odol_reg,1,One and Done Online,Sales,Existing Customer,Loyalist,Kohl's Charge,One and Done Online,m_2,One and Done Online_Existing Customer_Loyalist_Kohl's Charge_Regular
new_nloy_nkc_other_reg,1,Sales - Other,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_2,Sales - Other_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_dcp_reg,1,Discount Cherry Picker,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_kids_reg,1,Kohl's Kids,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_mens_reg,1,Kohl's Mens,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_oleth_reg,1,Kohl's Online Enthusiast,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_missex_reg,1,Misses Exclusive,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_ocbb_reg,1,Occasional Big Basket,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_odis_reg,1,One and Done In-Store,Sales,New Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_nkc_odol_reg,1,One and Done Online,Sales,New Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_2,One and Done Online_New Customer_Non Loyalist_Non Kohl's Charge_Regular
new_nloy_kc_other_reg,1,Sales - Other,Sales,New Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_2,Sales - Other_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_dcp_reg,1,Discount Cherry Picker,Sales,New Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_kids_reg,1,Kohl's Kids,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_mens_reg,1,Kohl's Mens,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_oleth_reg,1,Kohl's Online Enthusiast,Sales,New Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_missex_reg,1,Misses Exclusive,Sales,New Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_ocbb_reg,1,Occasional Big Basket,Sales,New Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_odis_reg,1,One and Done In-Store,Sales,New Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_New Customer_Non Loyalist_Kohl's Charge_Regular
new_nloy_kc_odol_reg,1,One and Done Online,Sales,New Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_2,One and Done Online_New Customer_Non Loyalist_Kohl's Charge_Regular
new_loy_nkc_other_reg,1,Sales - Other,Sales,New Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_2,Sales - Other_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_dcp_reg,1,Discount Cherry Picker,Sales,New Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_kids_reg,1,Kohl's Kids,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_mens_reg,1,Kohl's Mens,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_oleth_reg,1,Kohl's Online Enthusiast,Sales,New Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_missex_reg,1,Misses Exclusive,Sales,New Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_ocbb_reg,1,Occasional Big Basket,Sales,New Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_odis_reg,1,One and Done In-Store,Sales,New Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_nkc_odol_reg,1,One and Done Online,Sales,New Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_2,One and Done Online_New Customer_Loyalist_Non Kohl's Charge_Regular
new_loy_kc_other_reg,1,Sales - Other,Sales,New Customer,Loyalist,Kohl's Charge,Sales - Other,m_2,Sales - Other_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_dcp_reg,1,Discount Cherry Picker,Sales,New Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,Discount Cherry Picker_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,Sales,New Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,Kohl's Full Store Loyalist_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,Sales,New Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,Kohl's In-Store Enthusiast_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_kids_reg,1,Kohl's Kids,Sales,New Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_2,Kohl's Kids_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_mens_reg,1,Kohl's Mens,Sales,New Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_2,Kohl's Mens_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_oleth_reg,1,Kohl's Online Enthusiast,Sales,New Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,Kohl's Online Enthusiast_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_missex_reg,1,Misses Exclusive,Sales,New Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_2,Misses Exclusive_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_ocbb_reg,1,Occasional Big Basket,Sales,New Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_2,Occasional Big Basket_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_odis_reg,1,One and Done In-Store,Sales,New Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_2,One and Done In-Store_New Customer_Loyalist_Kohl's Charge_Regular
new_loy_kc_odol_reg,1,One and Done Online,Sales,New Customer,Loyalist,Kohl's Charge,One and Done Online,m_2,One and Done Online_New Customer_Loyalist_Kohl's Charge_Regular
ex_nloy_nkc_other_final,1,Sales - Other,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_1,Sales - Other_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_dcp_final,1,Discount Cherry Picker,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_1,Discount Cherry Picker_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_fsloy_final,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_1,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_iseth_final,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_1,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_kids_final,1,Kohl's Kids,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_1,Kohl's Kids_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_mens_final,1,Kohl's Mens,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_1,Kohl's Mens_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_oleth_final,1,Kohl's Online Enthusiast,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_1,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_missex_final,1,Misses Exclusive,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_1,Misses Exclusive_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_ocbb_final,1,Occasional Big Basket,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_1,Occasional Big Basket_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_odis_final,1,One and Done In-Store,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_1,One and Done In-Store_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_nkc_odol_final,1,One and Done Online,Sales,Existing Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_1,One and Done Online_Existing Customer_Non Loyalist_Non Kohl's Charge_Final
ex_nloy_kc_other_final,1,Sales - Other,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_1,Sales - Other_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_dcp_final,1,Discount Cherry Picker,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_1,Discount Cherry Picker_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_fsloy_final,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_1,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_iseth_final,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_1,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_kids_final,1,Kohl's Kids,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_1,Kohl's Kids_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_mens_final,1,Kohl's Mens,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_1,Kohl's Mens_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_oleth_final,1,Kohl's Online Enthusiast,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_1,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_missex_final,1,Misses Exclusive,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_1,Misses Exclusive_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_ocbb_final,1,Occasional Big Basket,Sales,Existing Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_1,Occasional Big Basket_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_odis_final,1,One and Done In-Store,Sales,Existing Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_1,One and Done In-Store_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_nloy_kc_odol_final,1,One and Done Online,Sales,Existing Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_1,One and Done Online_Existing Customer_Non Loyalist_Kohl's Charge_Final
ex_loy_nkc_other_final,1,Sales - Other,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_1,Sales - Other_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_dcp_final,1,Discount Cherry Picker,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_1,Discount Cherry Picker_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_fsloy_final,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_1,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_iseth_final,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_1,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_kids_final,1,Kohl's Kids,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_1,Kohl's Kids_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_mens_final,1,Kohl's Mens,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_1,Kohl's Mens_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_oleth_final,1,Kohl's Online Enthusiast,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_1,Kohl's Online Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_missex_final,1,Misses Exclusive,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_1,Misses Exclusive_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_ocbb_final,1,Occasional Big Basket,Sales,Existing Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_1,Occasional Big Basket_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_odis_final,1,One and Done In-Store,Sales,Existing Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_1,One and Done In-Store_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_nkc_odol_final,1,One and Done Online,Sales,Existing Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_1,One and Done Online_Existing Customer_Loyalist_Non Kohl's Charge_Final
ex_loy_kc_other_final,1,Sales - Other,Sales,Existing Customer,Loyalist,Kohl's Charge,Sales - Other,m_1,Sales - Other_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_dcp_final,1,Discount Cherry Picker,Sales,Existing Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_1,Discount Cherry Picker_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_fsloy_final,1,Kohl's Full Store Loyalist,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_1,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_iseth_final,1,Kohl's In-Store Enthusiast,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_1,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_kids_final,1,Kohl's Kids,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_1,Kohl's Kids_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_mens_final,1,Kohl's Mens,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_1,Kohl's Mens_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_oleth_final,1,Kohl's Online Enthusiast,Sales,Existing Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_1,Kohl's Online Enthusiast_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_missex_final,1,Misses Exclusive,Sales,Existing Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_1,Misses Exclusive_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_ocbb_final,1,Occasional Big Basket,Sales,Existing Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_1,Occasional Big Basket_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_odis_final,1,One and Done In-Store,Sales,Existing Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_1,One and Done In-Store_Existing Customer_Loyalist_Kohl's Charge_Final
ex_loy_kc_odol_final,1,One and Done Online,Sales,Existing Customer,Loyalist,Kohl's Charge,One and Done Online,m_1,One and Done Online_Existing Customer_Loyalist_Kohl's Charge_Final
new_nloy_nkc_other_final,1,Sales - Other,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_1,Sales - Other_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_dcp_final,1,Discount Cherry Picker,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_1,Discount Cherry Picker_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_fsloy_final,1,Kohl's Full Store Loyalist,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_1,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_iseth_final,1,Kohl's In-Store Enthusiast,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_1,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_kids_final,1,Kohl's Kids,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_1,Kohl's Kids_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_mens_final,1,Kohl's Mens,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_1,Kohl's Mens_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_oleth_final,1,Kohl's Online Enthusiast,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_1,Kohl's Online Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_missex_final,1,Misses Exclusive,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_1,Misses Exclusive_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_ocbb_final,1,Occasional Big Basket,Sales,New Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_1,Occasional Big Basket_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_odis_final,1,One and Done In-Store,Sales,New Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_1,One and Done In-Store_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_nkc_odol_final,1,One and Done Online,Sales,New Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_1,One and Done Online_New Customer_Non Loyalist_Non Kohl's Charge_Final
new_nloy_kc_other_final,1,Sales - Other,Sales,New Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_1,Sales - Other_New Customer_Non Loyalist_Kohl's Charge_Final
